age,hypertension,marriage,0.010566854866390842
age,marriage,bmi,0.020363316438834773
age,marriage,work,0.04942983975231903
work,heartdisease,smoking,0.02598252447037204
work,smoking,stroke,0.01200017891461562
age,marriage,stroke,0.007986243253129702
work,heartdisease,marriage,0.026013683986176914
age,hypertension,stroke,0.015466082274902352
work,marriage,stroke,0.018139706862673004
age,marriage,smoking,0.014575881881513635
work,marriage,bmi,0.013814332067373437
work,age,bmi,0.04728562810088022
age,residence,glucose,0.03071340041782019
age,marriage,glucose,0.026715970261819454
work,hypertension,heartdisease,0.030850468928312842
age,heartdisease,marriage,0.01470112836870573
hypertension,gender,marriage,0.02145660191215616
age,hypertension,heartdisease,0.024087803640089923
age,hypertension,smoking,0.013915156132773382
age,heartdisease,stroke,0.02493172316955372
