work,age,heartdisease,0.06113957961529905
residence,heartdisease,smoking,0.05482066277562072
glucose,heartdisease,stroke,0.042546107862938116
heartdisease,residence,stroke,0.009848735583340361
bmi,glucose,stroke,0.04711008498603821
smoking,gender,hypertension,0.03378934770999609
work,gender,age,0.046903151751669515
heartdisease,age,glucose,0.07428404068521854
smoking,residence,bmi,0.005859650604774002
gender,smoking,stroke,0.020705952606138375
heartdisease,hypertension,marriage,0.05158789115492396
work,residence,smoking,0.02793050584473977
hypertension,gender,age,0.039057689069985406
gender,heartdisease,marriage,0.059187715269798435
heartdisease,gender,bmi,0.04695091491881723
heartdisease,glucose,bmi,0.03754090019318477
hypertension,age,marriage,0.20888707637166526
work,hypertension,bmi,0.03572845236259695
age,hypertension,glucose,0.04049168325091046
bmi,age,residence,0.007007813792964226
gender,hypertension,glucose,0.04489613061075566
smoking,work,glucose,0.07851032256550478
residence,hypertension,heartdisease,0.06288102187031609
bmi,age,glucose,0.11367463889083423
work,gender,smoking,0.07247091167567482
work,gender,hypertension,0.04730279412234213
stroke,residence,smoking,0.009750544880263981
heartdisease,work,stroke,0.024104173939620884
gender,age,hypertension,0.0678887822202891
glucose,heartdisease,marriage,0.058773623529657926
stroke,gender,work,0.05190183529903086
stroke,gender,glucose,0.023173394181429288
heartdisease,residence,glucose,0.04325323556311617
work,age,hypertension,0.09826256754060171
work,heartdisease,stroke,0.034174520482135165
smoking,hypertension,bmi,0.02356059587469103
work,age,glucose,0.08937424363669469
smoking,age,hypertension,0.09774480816828943
smoking,hypertension,stroke,0.043487940275085825
marriage,heartdisease,glucose,0.05629015509549161
residence,hypertension,glucose,0.06380705415929694
stroke,age,smoking,0.10738699209256047
glucose,heartdisease,bmi,0.013525842764384715
glucose,work,smoking,0.13379194449657977
smoking,age,heartdisease,0.11223688483614808
age,gender,residence,0.018200971464179906
glucose,residence,smoking,0.0041556789638754876
marriage,heartdisease,stroke,0.0682207772227415
work,bmi,smoking,0.045321007292005173
hypertension,age,bmi,0.08794852034968383
residence,gender,marriage,0.04122839464206382
hypertension,gender,work,0.05298494827067474
heartdisease,work,glucose,0.053298103256418025
bmi,gender,marriage,0.02594020718211846
bmi,gender,stroke,0.012368673899880523
bmi,heartdisease,glucose,0.06458107846455036
bmi,hypertension,heartdisease,0.06487605418539283
stroke,marriage,smoking,0.07015173863124965
hypertension,glucose,smoking,0.03736147971057018
smoking,bmi,stroke,0.031455747994910715
age,heartdisease,smoking,0.03415646387346685
glucose,age,marriage,0.26844652114237844
hypertension,smoking,stroke,0.023146271639492795
work,gender,bmi,0.050401445458927704
smoking,age,residence,0.008485357344464671
stroke,age,bmi,0.08796515848549556
heartdisease,age,work,0.21429503891877402
age,heartdisease,residence,0.00816679101847778
bmi,glucose,smoking,0.0764284548214316
age,hypertension,work,0.03600643624447981
smoking,age,work,0.21044121596614088
hypertension,heartdisease,stroke,0.05571453874066494
gender,heartdisease,work,0.031474980214856126
hypertension,marriage,glucose,0.04180638505786445
bmi,age,marriage,0.2849067266523651
stroke,age,hypertension,0.08765104984971817
heartdisease,hypertension,work,0.04558243708844818
marriage,age,bmi,0.09094622351866918
glucose,work,bmi,0.15142357116807814
work,hypertension,glucose,0.09139824056392076
marriage,residence,stroke,0.01174951911275147
stroke,gender,hypertension,0.02072016964672632
age,hypertension,residence,0.014990090548843163
marriage,gender,bmi,0.06988695399966653
marriage,residence,bmi,0.0029150351455081882
gender,marriage,bmi,0.08766254353758529
glucose,hypertension,smoking,0.022746530174347204
stroke,heartdisease,bmi,0.009571556356819659
gender,work,bmi,0.09257004901934691
work,age,marriage,0.19294144350315384
glucose,gender,heartdisease,0.042668770998847624
marriage,age,residence,0.010670729004141611
residence,age,work,0.23592342722063
heartdisease,marriage,bmi,0.06239656921732732
bmi,work,glucose,0.09395327496378385
residence,gender,stroke,0.012255771089413904
bmi,residence,glucose,0.045993284068488294
smoking,work,residence,0.026454012760973783
heartdisease,hypertension,residence,0.003976655619158406
smoking,heartdisease,residence,0.002398729129595842
age,hypertension,bmi,0.039407955326702646
heartdisease,gender,glucose,0.015729354776838414
stroke,work,glucose,0.08026805287635738
hypertension,heartdisease,residence,0.0032189611937485296
marriage,hypertension,smoking,0.03724762287979113
stroke,hypertension,glucose,0.04424397237210377
hypertension,bmi,stroke,0.028803674778018644
bmi,marriage,work,0.26247255471600023
hypertension,heartdisease,smoking,0.04615867957771223
bmi,hypertension,smoking,0.058708729894979717
hypertension,work,smoking,0.10542335747694478
stroke,hypertension,marriage,0.06468318462440875
smoking,gender,stroke,0.018556978704450427
gender,marriage,smoking,0.1530839773521035
smoking,gender,work,0.055086625342689294
hypertension,age,heartdisease,0.10388003033139988
smoking,hypertension,residence,0.003200268568786622
work,hypertension,marriage,0.08626212444545174
glucose,gender,hypertension,0.01869870973038499
marriage,gender,stroke,0.01086673449089277
stroke,age,heartdisease,0.10446873013403829
smoking,gender,residence,0.03759552914973065
residence,glucose,stroke,0.04652894716195709
bmi,age,stroke,0.11225060024671515
bmi,work,smoking,0.1383566085380388
smoking,marriage,bmi,0.05421483025892817
marriage,heartdisease,residence,0.0029314726814125645
gender,hypertension,marriage,0.06729550825835902
residence,marriage,smoking,0.10662151981550366
residence,work,bmi,0.12768226555510584
marriage,glucose,smoking,0.0671863144824881
residence,gender,glucose,0.041174428912688486
marriage,hypertension,work,0.05359201310257419
heartdisease,age,residence,0.009044958007218221
bmi,smoking,stroke,0.040244524203660245
hypertension,marriage,work,0.17528845467091997
work,gender,residence,0.03776170978305791
